source,file_path,created_at,updated_at,scraper_version
oto,/Volumes/Samsam/Public/USIdata/acatom/wawer-go-2-0/usi_oto_4sKhy.json,2026-05-25T02:06:18.359933,2026-05-25T02:06:18.359934,v0.7.0+
to,/Volumes/Samsam/Public/USIdata/acatom/wawer-go-2-0-przylaszczkowa-17-warszawa-wawer-falenica-mieszkania-na-sprzedaz/usi_to_9193590.json,2026-05-25T02:05:00.593710,2026-05-25T02:05:00.593713,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/acatom-sp-z-oo-spk/daszynskiego-park-katowice/usi_rp_13910.json,2026-05-25T02:06:18.320190,2026-06-02T23:13:17.586109,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/acatom-sp-z-oo-spk/podlesie-gliwice/usi_rp_20356.json,2026-05-25T02:06:18.333100,2026-06-02T23:13:17.615263,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/acatom-tarnogorska-sp-z-o-o/gliwice-ul-podlesie-ul-tarnogorska-nowe-mieszkania/usi_oto_4Bpjv.json,2026-05-25T02:06:18.310297,2026-05-25T02:06:18.310300,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/acatom-tarnogorska-sp-z-o-o/gliwice-ul-podlesie-ul-tarnogorska-nowe-mieszkania/usi_oto_68020790.json,2026-05-25T02:06:18.310297,2026-06-02T11:04:20.963974,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/acciona-nieruchomosci/kamienna-28/usi_oto_4p8Kh.json,2026-05-25T02:06:18.294658,2026-05-25T02:06:18.294661,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/acciona-nieruchomosci/kamienna-28-apartamenty-inwestycyjne/usi_oto_4p8Ki.json,2026-05-25T02:06:18.301427,2026-05-25T02:06:18.301429,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/acciona-nieruchomosci/zbozowa/usi_oto_4nswp.json,2026-05-25T02:06:18.305545,2026-05-25T02:06:18.305548,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activ-investment/kameralny-ruczaj/usi_oto_4sNBo.json,2026-05-25T02:06:18.240729,2026-05-25T02:06:18.240731,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activ-investment/kopalniana-7/usi_oto_4wHY7.json,2026-05-25T02:06:18.244306,2026-05-25T02:06:18.244307,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activ-investment/moj-przewoz/usi_oto_4yd1S.json,2026-05-25T02:06:18.247519,2026-05-25T02:06:18.247520,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activ-investment/nova-mikolowska-city-garden/usi_oto_4zNJ3.json,2026-05-25T02:06:18.250933,2026-05-25T02:06:18.250934,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activ-investment/osiedle-area-park/usi_oto_4jCpz.json,2026-05-25T02:06:18.254342,2026-05-25T02:06:18.254344,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activ-investment/osiedle-area-park-ii/usi_oto_4yGqW.json,2026-05-25T02:06:18.258165,2026-05-25T02:06:18.258167,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activ-investment/staw-plaszowski-ii/usi_oto_4xpgc.json,2026-05-25T02:06:18.262509,2026-05-25T02:06:18.262511,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activ-investment/swiatovida/usi_oto_4pqlt.json,2026-05-25T02:06:18.266525,2026-05-25T02:06:18.266526,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activ-investment/swiatovida-bud-b2/usi_oto_4sDhp.json,2026-05-25T02:06:18.270269,2026-05-25T02:06:18.270271,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/banacha-etap-i-krakow-pradnik-bialy/usi_rp_4919.json,2026-05-25T02:06:18.152281,2026-06-02T23:13:17.353904,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/banacha-etap-ii-krakow-pradnik-bialy/usi_rp_7543.json,2026-05-25T02:06:18.154789,2026-06-02T23:13:17.361285,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/banacha-etap-iii-krakow-pradnik-bialy/usi_rp_8619.json,2026-05-25T02:06:18.157547,2026-06-02T23:13:17.367863,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/konopnicka-city-park-krakow-podgorze/usi_rp_5638.json,2026-05-25T02:06:18.168730,2026-06-02T23:13:17.399714,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/nova-mikolowska-katowice-zespol-dzielnic-srodmiejskich/usi_rp_11656.json,2026-05-25T02:06:18.171470,2026-06-02T23:13:17.405580,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/okulickiego-ix-krakow-mistrzejowice/usi_rp_4063.json,2026-05-25T02:06:18.175065,2026-06-02T23:13:17.415515,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/skarbowcow-etap-ii-wroclaw-krzyki-osiedle-krzyki/usi_rp_5159.json,2026-05-25T02:06:18.217391,2026-06-02T23:13:17.474973,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/wodna-ii-krakow-podgorze/usi_rp_13861.json,2026-05-25T02:06:18.235135,2026-06-02T23:13:17.520776,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/wodna-krakow-podgorze/usi_rp_9520.json,2026-05-25T02:06:18.237927,2026-06-02T23:13:17.529882,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activa/andromeda/usi_oto_4tVVC.json,2026-05-25T02:06:18.116418,2026-05-25T02:06:18.116419,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activa/antares/usi_oto_4tVVr.json,2026-05-25T02:06:18.121123,2026-05-25T02:06:18.121124,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activa/cyganska-gora-5/usi_oto_4tVVE.json,2026-05-25T02:06:18.124504,2026-05-25T02:06:18.124507,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activa/nowa-cegielnia/usi_oto_4dyPp.json,2026-05-25T02:06:18.128175,2026-05-25T02:06:18.128176,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activa-ap-sp-z-oo-sp-k/nowa-cegielnia-gdansk-kokoszki/usi_rp_14007.json,2026-05-25T02:06:18.110175,2026-06-02T23:13:17.291008,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activa-ap-sp-z-oo-sp-k/tarasy-wierzycy-gniew/usi_rp_19110.json,2026-05-25T02:06:18.113388,2026-06-02T23:13:17.300086,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/active-developer-sp-z-o-o/mazurska-bytom-szombierki/usi_oto_4AosN.json,2026-05-25T02:06:18.091096,2026-05-25T02:06:18.091097,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/ad-progress-sp-z-o-o/osiedle-kwitnacej-wisni/usi_oto_4pb7f.json,2026-05-25T02:06:18.086325,2026-05-25T02:06:18.086328,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/adam-development/perla-centrum/usi_oto_4xAiF.json,2026-05-25T02:06:18.082081,2026-05-25T02:06:18.082082,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/adara-bud-sp-z-o-o/juranda-ze-spychowa-dom-w-warszawie-etap-1/usi_oto_4oyL9.json,2026-05-25T02:06:18.078739,2026-05-25T02:06:18.078740,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/adastral-sosnowiec-sp-z-o-o/horizon-gutkowo-etap-3/usi_oto_4zq1z.json,2026-05-25T02:06:18.074377,2026-05-25T02:06:18.074379,v0.7.0+
to,/Volumes/Samsam/Public/USIdata/adatex/osiedle-debowy-park-budynek-k-oswiecimska-7a-siemianowice-slaskie-bytkow-mieszkania-na-sprzedaz/usi_to_9235073.json,2026-06-02T10:53:56.755699,2026-06-02T10:53:57.151188,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/adatex-s-a/apartamenty-sikornik/usi_oto_4jRkg.json,2026-05-25T02:06:18.048032,2026-05-25T02:06:18.048033,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/adatex-s-a/debowy-park-ul-oswiecimska-7a/usi_oto_46Pko.json,2026-05-25T02:06:18.051948,2026-05-25T02:06:18.051950,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/adatex-s-a/letnia-przystan/usi_oto_4vPVc.json,2026-05-25T02:06:18.055802,2026-05-25T02:06:18.055803,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/adatex-s-a/osiedle-graniczna-34-b-biura-i-lokale-na-wynajem/usi_oto_46P9c.json,2026-05-25T02:06:18.058921,2026-05-25T02:06:18.058922,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/adatex-s-a/osiedle-gwiezdna/usi_oto_46PfE.json,2026-05-25T02:06:18.062654,2026-05-25T02:06:18.062655,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/adatex-s-a/osiedle-kaskada/usi_oto_4dTsW.json,2026-05-25T02:06:18.065542,2026-05-25T02:06:18.065543,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/adatex-s-a/osiedle-nowa-dabrowa-ul-graniczna-14/usi_oto_46Phs.json,2026-05-25T02:06:18.068492,2026-05-25T02:06:18.068494,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/adatex-s-a/panorama-3-stawy-ul-pulaskiego-23/usi_oto_4lBum.json,2026-05-25T02:06:18.071371,2026-05-25T02:06:18.071372,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/adatex-sp-z-oo/debowy-park-siemianowice-slaskie/usi_rp_13102.json,2026-05-25T02:06:18.004644,2026-06-02T23:13:17.173720,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/adatex-sp-z-oo/osiedle-debowy-park-bud-g-siemianowice-slaskie/usi_rp_20260.json,2026-05-25T02:06:18.008810,2026-06-02T23:13:17.181976,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/adatex-sp-z-oo/osiedle-debowy-park-bud-h-siemianowice-slaskie/usi_rp_20261.json,2026-05-25T02:06:18.012979,2026-06-02T23:13:17.189734,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/adatex-sp-z-oo/osiedle-debowy-park-bud-i-siemianowice-slaskie/usi_rp_20264.json,2026-05-25T02:06:18.016801,2026-06-02T23:13:17.198457,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/adatex-sp-z-oo/osiedle-debowy-park-bud-j-siemianowice-slaskie/usi_rp_20262.json,2026-05-25T02:06:18.020992,2026-06-02T23:13:17.209417,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/adatex-sp-z-oo/osiedle-debowy-park-bud-k-siemianowice-slaskie/usi_rp_20265.json,2026-05-25T02:06:18.025470,2026-06-02T23:13:17.219288,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/adatex-sp-z-oo/osiedle-debowy-park-etap-iii-siemianowice-slaskie/usi_rp_14118.json,2026-05-25T02:06:18.030087,2026-06-02T23:13:17.227080,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/adatex-sp-z-oo/osiedle-gwiezdna-bud-b-sosnowiec/usi_rp_17138.json,2026-05-25T02:06:18.034627,2026-06-02T23:13:17.233356,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/addax-investment/rezydencja-grottgera-16-przedsprzedaz/usi_oto_4vETy.json,2026-05-25T02:06:17.996085,2026-05-25T02:06:17.996087,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/adept-investment-sp-z-oo/warmia-resort-etap-iii-olsztynski-woryty/usi_rp_16276.json,2026-05-25T02:06:17.991655,2026-06-02T23:13:17.154135,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/adk-construction-group/lesny-park-bema-otwocki-jozefow/usi_rp_15686.json,2026-05-25T02:06:17.987538,2026-06-02T23:13:17.147626,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/adkon-sp-z-o-o-ul-plaszowska-11-32-005-niepolomice/nova-krzyszkowicka/usi_oto_4xgTe.json,2026-05-25T02:06:17.982743,2026-05-25T02:06:17.982746,v0.7.0+
