source,file_path,created_at,updated_at,scraper_version
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/osiedle-karoliny-etap-ii-katowice-zespol-dzielnic-srodmiejskich/usi_rp_7960.json,2026-05-25T02:06:18.187539,2026-06-02T23:13:17.437057,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/osiedle-karoliny-etap-iii-katowice-zespol-dzielnic-srodmiejskich/usi_rp_9017.json,2026-05-25T02:06:18.191525,2026-06-02T23:13:17.443648,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/osiedle-karoliny-etap-iv-katowice-zespol-dzielnic-srodmiejskich/usi_rp_10733.json,2026-05-25T02:06:18.195137,2026-06-02T23:13:17.453679,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/osiedle-karoliny-etap-v-katowice-zespol-dzielnic-srodmiejskich/usi_rp_9345.json,2026-05-25T02:06:18.210883,2026-06-02T23:13:17.461587,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/osiedle-stanczyka-krakow-bronowice/usi_rp_7929.json,2026-05-25T02:06:18.214587,2026-06-02T23:13:17.467399,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/skarbowcow-etap-ii-wroclaw-krzyki-osiedle-krzyki/usi_rp_5159.json,2026-05-25T02:06:18.217391,2026-06-02T23:13:17.474973,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/staw-plaszowski-ii-krakow-podgorze/usi_rp_17273.json,2026-05-25T02:06:18.220676,2026-06-02T23:13:17.482523,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/staw-plaszowski-krakow-podgorze/usi_rp_14199.json,2026-05-25T02:06:18.224041,2026-06-02T23:13:17.490306,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/swiatovida-warszawa-tarchomin/usi_rp_16925.json,2026-05-25T02:06:18.226845,2026-06-02T23:13:17.499252,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/wadowicka-krakow-podgorze/usi_rp_9951.json,2026-05-25T02:06:18.229715,2026-06-02T23:13:17.505304,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/wodna-34-krakow-podgorze/usi_rp_13066.json,2026-05-25T02:06:18.232393,2026-06-02T23:13:17.514268,v0.7.0+
